epoch,train_loss,val_loss
1,0.82417061,0.77045191
2,0.77419106,0.76591173
3,0.76517536,0.76529189
4,0.75939053,0.74825413
5,0.75579975,0.75043581
6,0.75170140,0.73796298
7,0.74608381,0.74389847
8,0.74496568,0.73580939
9,0.74056357,0.73529220
10,0.73907577,0.73420027
11,0.73755412,0.73320989
12,0.73606788,0.73308661
13,0.73368630,0.72924752
14,0.73194123,0.73875992
15,0.73177037,0.72883313
16,0.72992005,0.72494148
17,0.72900530,0.71955889
18,0.72659432,0.73094348
19,0.72561302,0.72250602
20,0.72521575,0.72050439
21,0.72476497,0.72149513
22,0.72414824,0.72539133
23,0.72286844,0.71928416
24,0.72160734,0.72317153
25,0.72105825,0.71973183
26,0.72222431,0.71685355
27,0.71891653,0.71571874
28,0.71786415,0.71873373
29,0.71706475,0.71922826
30,0.71666664,0.71881001
31,0.71664931,0.71625703
32,0.71413437,0.71218219
33,0.71488870,0.71598308
34,0.71352412,0.71742651
35,0.71291334,0.71873695
36,0.71335076,0.71313296
37,0.71301761,0.71614642
38,0.71276182,0.71395509
39,0.71017571,0.71888753
40,0.71000788,0.71331543
41,0.70938552,0.71134356
42,0.71119173,0.71069427
43,0.71069868,0.71162468
44,0.70905835,0.71721304
45,0.70920846,0.71328614
46,0.70630343,0.70706135
47,0.70634055,0.71046940
48,0.70857208,0.70894320
49,0.70452054,0.71215456
50,0.70610735,0.70733560
51,0.70409126,0.71389404
52,0.70265545,0.70982603
53,0.70164036,0.70636868
54,0.70154403,0.72100753
55,0.70154926,0.70753230
56,0.70422373,0.70428181
57,0.69947667,0.70456224
58,0.70271979,0.70945618
59,0.69967722,0.71221219
60,0.70079666,0.70938170
61,0.70199893,0.70869150
62,0.70122809,0.70413341
63,0.69784375,0.70277683
64,0.69763791,0.70898824
65,0.69726928,0.70415121
66,0.69455780,0.70437486
67,0.69506323,0.70271318
68,0.69706584,0.70945240
69,0.69725497,0.70088605
70,0.69624801,0.70587858
71,0.69386409,0.70114708
72,0.69438852,0.70762693
73,0.69442154,0.70246708
74,0.69432372,0.70590257
75,0.69414532,0.70134756
76,0.69277571,0.70263560
77,0.69319760,0.70022914
78,0.69250193,0.70445359
79,0.69174517,0.72238369
