infer_call,action_dim,pred_min,pred_mean,pred_max,gt_min,gt_mean,gt_max
1,0,-0.00011482982,-3.0793584e-05,2.0969048e-05,-0.00048403442,-5.939603e-05,0.00011213124
1,1,-0.0031582797,-0.0017668873,-0.00019354711,-0.009638727,-0.0030499864,1.013279e-06
1,2,-0.00033450764,-0.00014648918,9.965355e-05,-0.00019278377,-2.7999282e-05,3.7163496e-05
1,3,0.008961916,0.07240314,0.2021747,8.20607e-06,8.206071e-06,8.20607e-06
2,0,-6.3718515e-05,1.7643156e-06,6.448311e-05,0.0,2.2696331e-06,3.582239e-05
2,1,-0.00082077866,-0.00014251968,0.00041080266,-1.4603138e-06,-9.872019e-08,0.0
2,2,-0.00037281515,-8.749799e-05,8.5952925e-05,0.0,1.4384277e-06,2.272427e-05
2,3,0.0899867,0.3098188,0.5810492,8.20607e-06,0.2437582,0.5000082
3,0,-0.00012706606,3.8309736e-05,0.00033435514,-7.079542e-05,4.776474e-05,0.00083495677
3,1,-0.00031960884,-6.713935e-05,0.00025271584,-0.00021323562,-1.2218952e-05,1.7762184e-05
3,2,-0.002319182,-0.00071455847,0.0004149163,-0.008374251,-0.0005552699,2.2351742e-08
3,3,0.5522363,0.7453481,0.85482085,0.5000082,0.70000815,0.8000082
4,0,-0.00031280855,0.0011863032,0.0030588345,-0.000104263425,0.0012074346,0.009043574
4,1,-0.00018504146,4.1961484e-05,0.00031817862,-0.00017562509,4.030764e-06,0.00034952164
4,2,-0.004293641,-0.0020366418,0.00012551958,-0.009718426,-0.001880059,0.00026851147
4,3,0.7870584,0.8281059,0.8452434,0.7000082,0.78750813,0.8000082
5,0,-6.2551655e-05,5.9482565e-05,0.0004568909,-6.979704e-05,1.3932586e-06,9.697676e-05
5,1,-6.173871e-05,8.205547e-05,0.00020505185,-1.7553568e-05,-1.1362135e-06,3.2484531e-06
5,2,-0.00021123709,0.00022393595,0.0010676493,-6.604195e-05,2.2156164e-06,0.000104524195
5,3,0.26096848,0.47236255,0.69023335,0.20000821,0.47500822,0.7000082
6,0,-0.00034199783,-0.00018494169,-6.1026672e-05,-0.0006470084,-0.00012564287,0.00027371943
6,1,-8.648174e-05,0.00011593118,0.00044040428,-6.341934e-05,2.9874966e-05,0.00015679002
6,2,0.0017269955,0.0023550305,0.002790903,-6.9484115e-05,0.0029133908,0.009410597
6,3,0.19362527,0.20983423,0.25231043,0.20000821,0.20000817,0.20000821
7,0,-0.0005270834,-0.00036847906,-0.0002085613,-0.0015554577,-0.00027798675,0.00034682453
7,1,-0.0018832216,-0.00080298854,5.5779994e-05,-2.2798777e-05,0.0006664861,0.00929454
7,2,0.00075069006,0.0015421467,0.0021803116,-4.3213367e-06,0.001835918,0.0059489235
7,3,0.17669746,0.19574706,0.22279386,0.20000821,0.20000817,0.20000821
8,0,-0.0005232212,-0.00037876316,-0.00024777034,-0.00049613416,-0.00027826522,-2.771616e-06
8,1,-0.00496108,-0.0039080093,-0.002345398,-0.009302378,-0.004679024,-0.000119805336
8,2,-0.0008658926,-0.00039146593,1.0862801e-05,-0.00053346157,-0.0001206696,9.030104e-05
8,3,0.17401427,0.18287537,0.20574297,0.20000821,0.20000817,0.20000821
9,0,-0.00052404916,-0.00020848583,5.4261967e-05,-0.008331329,-0.00092666317,0.0009358525
9,1,-0.0017567337,-0.0002054503,0.00097123155,-0.00057277083,-0.00015003048,7.882714e-05
9,2,-0.0017811912,-0.0009492016,-2.9898598e-05,-0.005687386,-0.00063548423,0.0009634346
9,3,0.17784609,0.29472393,0.5479295,0.20000821,0.26875818,0.6000082
10,0,-0.00041609444,-0.00013573712,0.0001226217,-1.7881393e-07,-1.0217939e-07,-5.9604645e-08
10,1,-0.0005765577,-0.00018471974,0.0002558598,2.9802322e-08,6.81196e-08,1.1920929e-07
10,2,-0.003290835,-0.0010817962,0.00049293233,-1.4901161e-08,2.5544848e-08,8.940697e-08
10,3,0.74877816,0.9490404,1.038249,0.7000082,0.78572255,0.8000082
